fast_window,slow_window,atr_window,stop_atr_mult,tp1_mult,tp2_mult,tp3_mult,regime_ma_window,min_atr_pct,sweep_lookback,require_sweep,avg_strategy_return_%,avg_buy_hold_%,avg_max_drawdown_%,avg_num_trades,avg_win_rate_%,avg_avg_win_$,avg_avg_loss_$,avg_avg_rr,avg_profit_factor,avg_expectancy_$,avg_mc_prob_profit_%,avg_mc_p05_return_%,avg_mc_median_max_dd_%,valid_ticker_count,score
21,42,14,0.8,1.5,2.5,3.0,100,0.015,10,False,199.7025,784.2650000000001,-31.735,12.0,39.295,368.98,-143.73499999999999,2.385,1.5375,14.2975,62.962500000000006,-9.5425,-6.2325,4,67.276
21,42,14,0.8,1.5,2.5,3.0,100,0.015,20,False,199.7025,784.2650000000001,-31.735,12.0,39.295,368.98,-143.73499999999999,2.385,1.5375,14.2975,62.962500000000006,-9.5425,-6.2325,4,67.276
21,42,14,0.8,1.5,2.5,3.0,100,0.015,5,False,199.7025,784.2650000000001,-31.735,12.0,39.295,368.98,-143.73499999999999,2.385,1.5375,14.2975,62.962500000000006,-9.5425,-6.2325,4,67.276
14,84,14,1.0,1.5,2.5,3.0,150,0.015,5,False,92.4625,740.07,-29.122500000000002,10.5,35.567499999999995,263.89750000000004,-126.65749999999998,1.9875,1.0675,10.172500000000001,43.7,-9.0975,-4.8475,3,66.98924999999998
14,84,14,1.0,1.5,2.5,3.0,150,0.015,20,False,92.4625,740.07,-29.122500000000002,10.5,35.567499999999995,263.89750000000004,-126.65749999999998,1.9875,1.0675,10.172500000000001,43.7,-9.0975,-4.8475,3,66.98924999999998
14,84,14,1.0,1.5,2.5,3.0,150,0.015,10,False,92.4625,740.07,-29.122500000000002,10.5,35.567499999999995,263.89750000000004,-126.65749999999998,1.9875,1.0675,10.172500000000001,43.7,-9.0975,-4.8475,3,66.98924999999998
14,42,14,0.8,1.5,2.5,3.0,100,0.015,5,False,190.59000000000003,784.2650000000001,-34.995,11.25,41.12,292.0525,-148.63750000000002,1.9775,1.5675,26.072499999999998,60.612500000000004,-9.1325,-5.58,4,66.75524999999999
14,42,14,0.8,1.5,2.5,3.0,100,0.015,10,False,190.59000000000003,784.2650000000001,-34.995,11.25,41.12,292.0525,-148.63750000000002,1.9775,1.5675,26.072499999999998,60.612500000000004,-9.1325,-5.58,4,66.75524999999999
14,42,14,0.8,1.5,2.5,3.0,100,0.015,20,False,190.59000000000003,784.2650000000001,-34.995,11.25,41.12,292.0525,-148.63750000000002,1.9775,1.5675,26.072499999999998,60.612500000000004,-9.1325,-5.58,4,66.75524999999999
21,42,14,1.0,1.0,2.5,4.0,100,0.015,20,False,163.2375,784.2650000000001,-33.325,12.25,53.572500000000005,162.115,-126.66250000000001,1.2999999999999998,1.6225,27.735,65.66250000000001,-6.54,-3.605,4,66.22725
