fast_window,slow_window,atr_window,stop_atr_mult,tp1_mult,tp2_mult,tp3_mult,regime_ma_window,min_atr_pct,avg_strategy_return_%,avg_buy_hold_%,avg_max_drawdown_%,avg_num_trades,avg_win_rate_%,avg_avg_win_$,avg_avg_loss_$,avg_avg_rr,avg_profit_factor,avg_expectancy_$,valid_ticker_count,score
21,42,14,1.0,1.0,2.0,3.0,100,0.02,146.4025,784.2650000000001,-26.5775,10.5,53.89,108.5625,-120.59999999999998,0.885,1.1400000000000001,5.0,4,86.69200000000001
21,84,14,1.0,1.5,2.5,3.0,200,0.025,13.92,740.07,-11.5775,3.0,51.785,120.94999999999999,-80.94,0.9899999999999999,3.31,32.519999999999996,1,86.552375
42,55,14,1.0,1.5,2.0,4.0,200,0.025,29.584999999999997,1029.6299999999999,-8.945,2.25,40.0,88.63250000000001,-58.835,0.985,3.2375,24.025,1,86.207
14,84,14,0.8,1.0,2.5,3.0,200,0.02,276.355,740.07,-34.145,7.25,44.49249999999999,359.92499999999995,-166.59,1.795,1.415,49.56,4,86.1215
21,42,14,0.8,1.0,2.5,4.0,150,0.025,186.1475,784.2650000000001,-15.7175,7.25,44.6425,86.8175,-136.98250000000002,0.6174999999999999,0.9850000000000001,-19.075,3,85.90025
42,55,14,1.0,1.5,2.0,3.0,200,0.025,29.545,1029.6299999999999,-7.0475,2.25,40.0,88.6825,-57.9725,0.915,3.185,26.769999999999996,1,85.706125
42,84,14,1.0,1.5,2.0,4.0,150,0.02,58.25500000000001,740.07,-22.27,6.25,56.31,167.1775,-125.905,1.3625000000000003,2.21,39.535,3,85.63875
14,84,14,0.8,1.0,2.0,3.0,200,0.015,278.44,740.07,-37.2725,9.75,41.8175,442.675,-184.06750000000002,1.8725,1.315,67.9475,4,85.477375
14,42,14,1.0,1.0,2.5,3.0,150,0.02,110.095,784.2650000000001,-27.865,8.75,56.025000000000006,107.2975,-111.095,0.97,1.4825,12.672500000000001,4,85.46625
21,42,14,0.8,1.0,2.5,3.0,150,0.025,185.7075,784.2650000000001,-13.0925,7.25,44.6425,83.92250000000001,-136.93,0.595,0.9525000000000001,-20.7075,3,85.37075000000002
21,42,14,0.8,1.0,2.0,3.0,100,0.015,251.7475,784.2650000000001,-34.235,12.5,52.635000000000005,191.7325,-139.48,1.3925,1.6749999999999998,35.035,4,85.332125
14,42,14,1.0,1.0,2.5,4.0,200,0.02,110.60000000000001,784.2650000000001,-29.417499999999997,8.0,57.225,124.8175,-124.10000000000001,0.9824999999999999,1.435,18.5925,4,85.24162500000001
21,84,14,1.0,1.5,2.0,3.0,100,0.025,21.8575,740.07,-12.705,3.75,53.125,101.075,-85.97749999999999,0.7166666666666667,3.1775,22.695,1,85.003125
42,84,14,1.0,1.5,2.0,3.0,150,0.02,58.065,740.07,-22.27,6.25,56.31,168.6175,-125.905,1.3725,2.18,39.50749999999999,3,84.9885
21,84,14,1.0,1.5,2.0,3.0,200,0.025,13.8025,740.07,-11.5775,3.0,51.785,112.625,-80.94,0.93,3.26,26.490000000000002,1,84.91999999999999
